Address,Atlanta Building ID,Blank ,Views by Parameter,City,ENERGY STAR Score,Number of Buildings,Number of Records,Postal Code,Grouped Property Types,Primary Property Type - Self Selected,Property GFA - Calculated (Buildings) (ft²),Property Id,Property Name,Property Notes,Site EUI (kBtu/ft²),Site Energy Use (kBtu),State/ Province,Table Names,Total GHG Emissions (Metric Tons CO2e) (group),Total GHG Emissions (Metric Tons CO2e),Water Use (kGal),Water Use Intensity (gal/ft²),Year Built,Year Ending,Year
2519 Chantilly Drive,346053, ,,Atlanta,,1,1,30324,Storage & Distribution,Self-Storage Facility,65463,4479594,21604-Atlanta / Chantilly Drive,Not Available,5.3,346954,Georgia,Data Request_Atlanta 2015 Transparency Report (3).xlsx/2015 CEP,63.100000000000001,63.1,36.0046,0.55,1997,12/31/2014,1/1/2015
2115 Monroe Drive Ne,570034, ,,Atlanta,,1,1,30324,Storage & Distribution,Self-Storage Facility,192355,4479588,25596-Atlanta / Monroe DR NE,Not Available,7,1346485,Georgia,Data Request_Atlanta 2015 Transparency Report (3).xlsx/2015 CEP,244.099999999999,244.100000000,242.367,1.26,2005,12/31/2014,1/1/2015
1944 Piedmont Circle,886535, ,31,Atlanta,31,,1,30324,Lodging,Hotel,130975,4471386,Intown Suites,Not Available,41.4,5422365,Georgia,Data Request_Atlanta 2015 Transparency Report (3).xlsx/2015 CEP,979.89999999999895,979.900000000,,,1964,12/31/2014,1/1/2015
"2167 Monroe Drive, NE",250751, ,,Atlanta,,1,1,30324,Municipal,Fire Station,3565,3926663,Fire Station 29,Not Available,186.2,663803,Georgia,Data Request_Atlanta 2015 Transparency Report (3).xlsx/2015 CEP,67.0,67,537.78,150.85,1958,12/31/2014,1/1/2015
2489 Cheshire Bridge Rd Ne,911561, ,76,Atlanta,76,1,1,30324,Storage & Distribution,Non-Refrigerated Warehouse,104791,3663871,1304-Atlanta - Cheshire Bridge RD NE,Not Available,16,1676656,Georgia,Data Request_Atlanta 2015 Transparency Report (3).xlsx/2015 CEP,187.099999999999,187.100000000,32.4852,0.31,2009,12/31/2014,1/1/2015
575 MOROSGO DR NE,622966, ,77,Atlanta,77,1,1,30324,Office,Office,1067082,1979565,R02G4,Not Available,57.2,61037100,Georgia,Data Request_Atlanta 2015 Transparency Report (3).xlsx/2015 CEP,9300.1000000000004,9300.1,,,1985,12/31/2014,1/1/2015
2535 Chantilly Drive Ne,575864, ,47,Atlanta,47,,1,30324,Lodging,Hotel,44444,1764002,1014-Atlanta Lenox,Not Available,62.5,2777750,Georgia,Data Request_Atlanta 2015 Transparency Report (3).xlsx/2015 CEP,371.5,371.5,,,1990,12/31/2014,1/1/2015
3088 Lenox Road,897282, ,40,Atlanta,40,,1,30324,Hospital/Medical,Senior Care Community,70000,1435787,62056-Brighton Gardens of Buckhead,Not Available,79.9,5593000,Georgia,Data Request_Atlanta 2015 Transparency Report (3).xlsx/2015 CEP,761.70000000000005,761.7,4176.9,59.67,1998,12/31/2014,1/1/2015
1000 Lenox Park Blvd. Ne,647749, ,23,Atlanta,23,,1,30379,Hospital/Medical,Senior Care Community,65036,1435700,63043-Sunrise at Buckhead,Not Available,90.8,5905270,Georgia,Data Request_Atlanta 2015 Transparency Report (3).xlsx/2015 CEP,767.10000000000002,767.1,4123.93,63.41,2000,12/31/2014,1/1/2015
5400 old national,523608, ,,Atlanta,,,1,30349,Storage & Distribution,Self-Storage Facility,27320,4560094,Uhaul of Old National,Not Available,48.4,1322288,Georgia,Data Request_Atlanta 2015 Transparency Report (3).xlsx/2015 CEP,220.40000000000001,220.4,,,1996,12/31/2014,1/1/2015
1025 Virginia Ave,730489, ,,Hapeville,,,1,30354,Office,Financial Office,,5093405,1025 Virginia Ave,Not Available,,,Georgia,Data Request_Atlanta 2015 Transparency Report (3).xlsx/2015 CEP,No Values Given,,,,1999,12/31/2014,1/1/2015
3799 Browns Mill Road,175650, ,,Atlanta,,,1,30354,"Other, Mixed Use",Manufacturing/Industrial Plant,50000,4519220,Amerisouth Reycling Inc,Not Available,34.1,1705000,Georgia,Data Request_Atlanta 2015 Transparency Report (3).xlsx/2015 CEP,290.39999999999901,290.400000000,,,1960,12/31/2014,1/1/2015
1030 Delta Blvd,161147, ,,Atlanta,,,1,30354,Office,Office,1868207,4514155,Delta General Offices,"This property is a campus of office buildings with a single meter, and 10 individual buildings.  The age listed in the general information tab is the average age based on all building ages. The occupancy listed in the general information tab is the average occupancy rate based on all building occupancy rates.",142.4,266033000,Georgia,Data Request_Atlanta 2015 Transparency Report (3).xlsx/2015 CEP,48136.400000000001,48136.4,,,1970,12/31/2014,1/1/2015
3850 jonesboro rd SE,799530, ,,Atlanta,,1,1,30354,"Museums, Performing Arts and Zoos",Convention Center,201000,4471688,atlanta expo south,"Being a convention center that operates 12 months out of the year, our usage is greatly affected by  our event schedule.  We have normal business hours during a week, but when an event is taking place our hours will vary and electric and water usage will go up. 

Additional notes added 8/26/15:
This submission includes Atlanta building ID's 799530_a and 799530_b",24.3,4884300,Georgia,Data Request_Atlanta 2015 Transparency Report (3).xlsx/2015 CEP,883.39999999999895,883.400000000,1344.69,6.69,1966,12/31/2014,1/1/2015
3650 jonesboro rd SE,219234, ,,Atlanta,,1,1,30354,"Museums, Performing Arts and Zoos",Convention Center,161000,4471653,atlanta expo north,"Being a convention center that operates 12 months out of the year, our usage is greatly affected by our event schedule.  We have normal business hours during a week, but when an event is taking place our hours will vary and electric and water usage will go up.",19.1,3075100,Georgia,Data Request_Atlanta 2015 Transparency Report (3).xlsx/2015 CEP,556.20000000000005,556.2,1011.08,6.28,1974,12/31/2014,1/1/2015
180 Southside Pkwy,698781, ,,Atlanta,,1,1,30354,"Other, Mixed Use",Other,58036,4293102,Police Training Academy,Not Available,20.5,1189738,Georgia,Data Request_Atlanta 2015 Transparency Report (3).xlsx/2015 CEP,63.299999999999898,63.300000000,475.315,8.19,1958,12/31/2014,1/1/2015
2640 Jonesboro Road,224220, ,,Atlanta,,1,1,30354,"Other, Mixed Use",Other,28848,4278151,WW-South River Plant (Treatment),Not Available,2639.6,76147200,Georgia,Data Request_Atlanta 2015 Transparency Report (3).xlsx/2015 CEP,13614.1,13614.1,87058.9,3017.85,2005,12/31/2014,1/1/2015
2150 Central Cargo Circle,197739, ,,Atlanta,,1,1,30354,Municipal,Fire Station,14245,4006350,DOA - Fire Station35,Gas data: There is no usage for Nov. 2014 as reported from the gas company.,133.8,1905981,Georgia,Data Request_Atlanta 2015 Transparency Report (3).xlsx/2015 CEP,249.30000000000001,249.3,,,2005,12/31/2014,1/1/2015
365 Cleveland Avenue,696280, ,,Atlanta,,1,1,30354,Municipal,Municipal,59200,3965357,DPRCA-Rosel Fann Community Ctr,Not Available,112.8,6677760,Georgia,Data Request_Atlanta 2015 Transparency Report (3).xlsx/2015 CEP,876.79999999999905,876.800000000,282.384,4.77,1994,12/31/2014,1/1/2015
3671 Southside Industrial Prk SW,802739, ,,Atlanta,,1,1,30354,Municipal,Fire Station,10000,3963166,Fire Station 34,Not Available,77.5,775000,Georgia,Data Request_Atlanta 2015 Transparency Report (3).xlsx/2015 CEP,79.0,79,275.4,27.54,1989,12/31/2014,1/1/2015
"3460 Jonesboro Road, SE",490261, ,,Atlanta,,1,1,30354,Municipal,Municipal,3659,3926280,DPRCA-S.side Sports Cmplx Rec Bldg.,Gas data: There is no natural gas at this account according to UMS and utility.,131.9,482622,Georgia,Data Request_Atlanta 2015 Transparency Report (3).xlsx/2015 CEP,87.299999999999898,87.300000000,731.471,199.91,1979,12/31/2014,1/1/2015
One Hartsfield Center Pkwy,818230, ,26,Atlanta,26,,1,30354,Lodging,Hotel,406000,3351558,9671a-Renaissance Atlanta Concrse Hotel,Not Available,103.2,41899200,Georgia,Data Request_Atlanta 2015 Transparency Report (3).xlsx/2015 CEP,5469.3000000000002,5469.3,18911.5,46.58,1992,12/31/2014,1/1/2015
300 Peters St SW,969848, ,,Atlanta,,,1,30313,Storage & Distribution,Self-Storage Facility,186250,4560350,U-Haul Moving and Storage at Peters St,Not Available,10.3,1918375,Georgia,Data Request_Atlanta 2015 Transparency Report (3).xlsx/2015 CEP,346.60000000000002,346.6,,,1950,12/31/2014,1/1/2015
144 Mills ST NW,794083, ,,Atlanta,,1,1,30313,Lodging,Other - Lodging/Residential,37800,4498832,Shepard's Inn - Fuqua Hall,Not Available,43.5,1644300,Georgia,Data Request_Atlanta 2015 Transparency Report (3).xlsx/2015 CEP,196.90000000000001,196.9,4426.38,117.1,1988,12/31/2014,1/1/2015
165 Centennial Olympic Park Drive,457931_b, ,,Atlanta,,1,1,30313,Lodging,Other - Lodging/Residential,17600,4498827,Shepard's Inn - CLC,Not Available,120.6,2122560,Georgia,Data Request_Atlanta 2015 Transparency Report (3).xlsx/2015 CEP,222.099999999999,222.100000000,1862.26,105.81,1988,12/31/2014,1/1/2015
165 Centennial Olympic Park Drive,457931_a, ,,Atlanta,,1,1,30313,Lodging,Other - Lodging/Residential,30300,4498773,Shepard's Inn - PDP,Not Available,121.9,3693570,Georgia,Data Request_Atlanta 2015 Transparency Report (3).xlsx/2015 CEP,350.5,350.5,2620.95,86.5,1988,12/31/2014,1/1/2015
121 Baker Street,253932, ,,Atlanta,,,1,30313,"Other, Mixed Use",Other,100000,4473329,The World of Coca-Cola,Not Available,190.4,19040000,Georgia,Data Request_Atlanta 2015 Transparency Report (3).xlsx/2015 CEP,3444.5,3444.5,,,2007,12/31/2014,1/1/2015
225 Baker Street,731349, ,,Atlanta,,1,1,30313,"Museums, Performing Arts and Zoos",Aquarium,255787,4470471,Georgia Aquarium,Not Available,761.1,194679000,Georgia,Data Request_Atlanta 2015 Transparency Report (3).xlsx/2015 CEP,31967.900000000001,31967.9,41867.2,163.68,2005,12/31/2014,1/1/2015
244 North Avenue N.W,Not Available, ,1,Atlanta,1,,1,30313,Lodging,Hotel,6000,4457121,Hampton Inn Ga Tech,Not Available,884.4,5306400,Georgia,Data Request_Atlanta 2015 Transparency Report (3).xlsx/2015 CEP,648.70000000000005,648.7,,,1996,12/31/2014,1/1/2015
384 Northyards,Not Available, ,,Atlanta,,,1,30313,Office,Office,274841,4390527,384 Northyards Blvd,Not Available,53.9,14813900,Georgia,Data Request_Atlanta 2015 Transparency Report (3).xlsx/2015 CEP,2677.8000000000002,2677.8,2.74841,0.01,1950,12/31/2014,1/1/2015
387 Technology Circle,Not Available, ,,Atlanta,,1,1,30313,"Other, Mixed Use",Laboratory,134423,4137370,Technology Enterprise Park,Not Available,330.2,44386500,Georgia,Data Request_Atlanta 2015 Transparency Report (3).xlsx/2015 CEP,5405.3000000000002,5405.3,,,2008,12/31/2014,1/1/2015
"71 Elliott Street, SW",175098, ,,Atlanta,,1,1,30313,Municipal,Fire Station,6087,3963158,Fire Station 1,Water data: no recorded usage for the end of 2014.,289.6,1762800,Georgia,Data Request_Atlanta 2015 Transparency Report (3).xlsx/2015 CEP,157.599999999999,157.600000000,,,1961,12/31/2014,1/1/2015
1 Coca-Cola Plaza,568820, ,,Atlanta,,1,1,30313,"Other, Mixed Use",Laboratory,48249,1451791,EDC-Coca-Cola,EDC Building doesn't have it's own water meter. It is shared from a main off of the street.,143.8,6938210,Georgia,Data Request_Atlanta 2015 Transparency Report (3).xlsx/2015 CEP,1065.0,1065,,,1980,12/31/2014,1/1/2015
1 Coca-Cola Plaza,415833_e, ,16,Atlanta,16,,1,30313,Office,Office,18810,1447944,KOR-Coca-Cola,Not Available,86.9,1634589,Georgia,Data Request_Atlanta 2015 Transparency Report (3).xlsx/2015 CEP,171.099999999999,171.100000000,127.532,6.78,1960,12/31/2014,1/1/2015
1 Coca-Cola Plaza,743171, ,16,Atlanta,16,1,1,30313,Office,Office,277134,1446917,CRB/TEC-Coca-Cola,CRB Building doesn't have it's own water meter. It is shared from a main off of the street.,121.2,33588600,Georgia,Data Request_Atlanta 2015 Transparency Report (3).xlsx/2015 CEP,5155.0,5155,,,1985,12/31/2014,1/1/2015
1 Coca-Cola Plaza,884898, ,17,Atlanta,17,1,1,30313,Office,Office,137065,1439354,TCP-Coca-Cola,TCP Building,124.3,17037200,Georgia,Data Request_Atlanta 2015 Transparency Report (3).xlsx/2015 CEP,2614.4000000000001,2614.4,2116.28,15.44,1990,12/31/2014,1/1/2015
One Coca-Cola Plaza,814676, ,69,Atlanta,69,1,1,30313,Office,Office,332376,1420086,CCP-Coca-Cola,CCP Building,71.1,23631900,Georgia,Data Request_Atlanta 2015 Transparency Report (3).xlsx/2015 CEP,3424.3000000000002,3424.3,5690.28,17.12,1968,12/31/2014,1/1/2015
One Coca-Cola Plaza,415833_b, ,53,Atlanta,53,1,1,30313,Office,Office,620629,1420084,NAT-Coca-Cola,Not Available,117.7,73048000,Georgia,Data Request_Atlanta 2015 Transparency Report (3).xlsx/2015 CEP,7859.6000000000004,7859.6,19357.4,31.19,1979,12/31/2014,1/1/2015
1 Coca-Cola Plaza,744327, ,88,Atlanta,88,1,1,30313,Office,Office,929139,1388322,USA-Coca-Cola,USA Building,54.6,50731000,Georgia,Data Request_Atlanta 2015 Transparency Report (3).xlsx/2015 CEP,7525.3000000000002,7525.3,,,1985,12/31/2014,1/1/2015
6455 Best Friend Road,Not Available, ,,Norcross,,,1,30071,"Other, Mixed Use",Manufacturing/Industrial Plant,360904,4457178,Cox Media Group - Atlanta Journal Constitution - Gwinnett County Printing Plant,Not Available,202.7,73155200,Georgia,Data Request_Atlanta 2015 Transparency Report (3).xlsx/2015 CEP,10279.299999999899,10279.300000000,3132.65,8.68,1985,12/31/2014,1/1/2015
2440 Bolton Road,969610, ,,Atlanta,,1,1,30138,"Other, Mixed Use",Other,63548,4293092,WW-R. M. Clayton Plant (Treatment),Water data: This account show sporadic recording of usage.,4699.8,298663000,Georgia,Data Request_Atlanta 2015 Transparency Report (3).xlsx/2015 CEP,47865.099999999897,47865.100000000,0,0,1972,12/31/2014,1/1/2015
1620 Delowe Drive,686054, ,,Atlanta,,1,1,30311,Municipal,Municipal,15450,4435889,DPRCA-Adams Park - Rec Building,Not Available,113.1,1747395,Georgia,Data Request_Atlanta 2015 Transparency Report (3).xlsx/2015 CEP,178.099999999999,178.100000000,418.386,27.08,1978,12/31/2014,1/1/2015
3201 MLK Jr. Drive SW,478795, ,,Atlanta,,1,1,30311,Municipal,Municipal,137650,3965347,DPRCA-Adamsville Recreation Center,"Water data: registered meter, but no recorded activity.",76,10461400,Georgia,Data Request_Atlanta 2015 Transparency Report (3).xlsx/2015 CEP,1283.5,1283.5,,,2004,12/31/2014,1/1/2015
"2349 Benjamin E. Mays Drive, SW",952975, ,,Atlanta,,1,1,30311,Municipal,Fire Station,5549,3963213,Fire Station 25,Not Available,157.1,871748,Georgia,Data Request_Atlanta 2015 Transparency Report (3).xlsx/2015 CEP,82.099999999999895,82.100000000,338.378,60.98,1949,12/31/2014,1/1/2015
"2825 Campbellton Road, SW",447679, ,,Atlanta,,1,1,30311,Municipal,Fire Station,9090,3963181,Fire Station 5,Not Available,83.6,759924,Georgia,Data Request_Atlanta 2015 Transparency Report (3).xlsx/2015 CEP,83.0,83,393.052,43.24,1991,12/31/2014,1/1/2015
"2825 Campbellton Road, SW",882996, ,,Atlanta,,1,1,30311,Municipal,Fire Station,12356,3963167,Fire Station 7,Fire Station 7 is currently shut down awaiting renovation. It is not in use.,0,0,Georgia,Data Request_Atlanta 2015 Transparency Report (3).xlsx/2015 CEP,No Values Given,0,,,1910,12/31/2014,1/1/2015
3030 Headland Drive S.W.,163005, ,82,Atlanta,82,1,1,30311,Retail/ Entertainment,Supermarket/Grocery Store,65855,2980187,01100462 - Greenbriar,Not Available,169.4,11155837,Georgia,Data Request_Atlanta 2015 Transparency Report (3).xlsx/2015 CEP,1741.9000000000001,1741.9,,,2002,12/31/2014,1/1/2015
501 Pulliam Street SW,441996, ,10,Atlanta,10,1,1,30312,Office,Office,50000,4520713,IBEW Local 613,Not Available,88.4,4420000,Georgia,Data Request_Atlanta 2015 Transparency Report (3).xlsx/2015 CEP,799.39999999999895,799.400000000,,,1968,12/31/2014,1/1/2015
165 BLVD SE,Not Available, ,1,Atlanta,1,,1,30312,Office,Office,22740,4509455,CO/GLC AATWGA/165 BLVD SE/ATLANTA/GA,Not Available,661.8,15049300,Georgia,Data Request_Atlanta 2015 Transparency Report (3).xlsx/2015 CEP,2704.5,2704.5,1501.98,66.05,1986,12/31/2014,1/1/2015
701 Highland Avenue,618351, ,48,Atlanta,48,,1,30312,Multi Family,Multifamily Housing,350000,4488845,Highland Walk apartments,Estimated property area,34.5,12075000,Georgia,Data Request_Atlanta 2015 Transparency Report (3).xlsx/2015 CEP,2187.0,2187,,,2005,12/31/2014,1/1/2015
320 Parkway Drive,426464-b, ,,Atlanta,,,1,30312,Hospital/Medical,Other - Specialty Hospital,73859,4483148,Health Pavilion,Not Available,116.8,8626730,Georgia,Data Request_Atlanta 2015 Transparency Report (3).xlsx/2015 CEP,1560.4000000000001,1560.4,,,1975,12/31/2014,1/1/2015
285 / 315 Boulevard NE,426464-a, ,,Atlanta,,,1,30312,Office,Medical Office,222122,4483146,285/315 Building,These buildings share one electric meter but they have two water accounts and two gas accounts.,106.7,23700400,Georgia,Data Request_Atlanta 2015 Transparency Report (3).xlsx/2015 CEP,4213.6000000000004,4213.6,,,1975,12/31/2014,1/1/2015
450 capitol ave,614886, ,72,Atlanta,72,,1,30312,Lodging,Hotel,410440,4482264,Ramada plaza,Not Available,40.4,16581776,Georgia,Data Request_Atlanta 2015 Transparency Report (3).xlsx/2015 CEP,2899.4000000000001,2899.4,2667.86,6.5,1972,12/31/2014,1/1/2015
303 Parkway Dr NE,426464, ,4,Atlanta,4,1,1,30312,Hospital/Medical,Hospital (General Medical & Surgical),529640,4478711,Atlanta Medical Center: Main Hospital,Not Available,332.2,175946408,Georgia,Data Request_Atlanta 2015 Transparency Report (3).xlsx/2015 CEP,18661.0999999999,18661.100000000,,,1948,12/31/2014,1/1/2015
"486 Decatur Street, SE",Not Available, ,,Atlanta,,,1,30312,Storage & Distribution,Self-Storage Facility,119302,4477726,486 Decatur Street,Not Available,4.9,584580,Georgia,Data Request_Atlanta 2015 Transparency Report (3).xlsx/2015 CEP,106.2,106.2,95.4416,0.8,2014,12/31/2014,1/1/2015
566 Wells Street SW,334481, ,,Atlanta,,,1,30312,Office,Office,60380,4475574,Concessions International LLC,Not Available,44.4,2680872,Georgia,Data Request_Atlanta 2015 Transparency Report (3).xlsx/2015 CEP,397.39999999999901,397.400000000,323.033,5.35,1983,12/31/2014,1/1/2015
880 Confederate Avenue,673538_b, ,,Atlanta,,,1,30312,Multi Family,Multifamily Housing,51767,4465485,The Burnett at Grant Park,Not Available,5.2,269188,Georgia,Data Request_Atlanta 2015 Transparency Report (3).xlsx/2015 CEP,48.700000000000003,48.7,1484.16,28.67,2006,12/31/2014,1/1/2015
815 Old Flat Shoals Road,434634, ,,Atlanta,,1,1,30312,"Other, Mixed Use",Other,66019,4293094,Public Works-Motor Transport,Water data: all meters are shut off or inactive.,45.7,3017070,Georgia,Data Request_Atlanta 2015 Transparency Report (3).xlsx/2015 CEP,236.5,236.5,,,1975,12/31/2014,1/1/2015
"70 Boulevard, NE",784078, ,,Atlanta,,1,1,30312,Municipal,Municipal,39700,4293088,DPRCA-M.L.K. North Natatorium,"Gas data: There is no gas data from utility for this address.

Water data: there is no water data for this address.

This building is currently owned by the City but is shut down/not in use.",3.5,138950,Georgia,Data Request_Atlanta 2015 Transparency Report (3).xlsx/2015 CEP,25.100000000000001,25.1,,,2005,12/31/2014,1/1/2015
250 Georgia Avenue,250555, ,,Atlanta,,1,1,30312,Municipal,Municipal,47521,4278148,OEAM-GA. Hill Neighborhood Ctr,Water data: no account at address.,60.1,2856010,Georgia,Data Request_Atlanta 2015 Transparency Report (3).xlsx/2015 CEP,419.80000000000001,419.8,,,2005,12/31/2014,1/1/2015
90 Boulevard NE,560718, ,,Atlanta,,1,1,30312,Municipal,Municipal,39862,3965354,DPRCA-M.L.K. Recreation Center,"Water data: no account at address
Gas data: There is no gas data at this address according to UMS and utility.",32.7,1303490,Georgia,Data Request_Atlanta 2015 Transparency Report (3).xlsx/2015 CEP,235.90000000000001,235.9,,,2002,12/31/2014,1/1/2015
537 Park Avenue,629882, ,,Atlanta,,1,1,30312,Municipal,Municipal,12000,3965352,DPRCA-Grant Park-Rec Center ~ Gym,Not Available,83.4,1000800,Georgia,Data Request_Atlanta 2015 Transparency Report (3).xlsx/2015 CEP,131.0,131,414.36,34.53,1975,12/31/2014,1/1/2015
98 William H. Borders Dr,772227, ,,Atlanta,,1,1,30312,Municipal,Municipal,9583,3965349,DPRCA-Butler Park-Rec Center,Not Available,39.4,377570,Georgia,Data Request_Atlanta 2015 Transparency Report (3).xlsx/2015 CEP,48.0,48,60.852,6.35,2005,12/31/2014,1/1/2015
"309 Edgewood Ave, NE",307501, ,,Atlanta,,1,1,30312,Municipal,Fire Station,8964,3963180,Fire Station 4,Not Available,107.4,962734,Georgia,Data Request_Atlanta 2015 Transparency Report (3).xlsx/2015 CEP,118.7,118.7,1405.47,156.79,2001,12/31/2014,1/1/2015
248 Oakland Avenue,337863, ,,Atlanta,,1,1,30312,Municipal,Municipal,4294,3935733,DPRCA-Oakland Cemetery-Sexton Bldg.,Water data: Account showing little usage through Jan. 2014.,26.1,112073,Georgia,Data Request_Atlanta 2015 Transparency Report (3).xlsx/2015 CEP,6.4000000000000004,6.4,,,1850,12/31/2014,1/1/2015
