BUILDING ADDRESS,BUILDING ID,CARBON DIOXIDE EMISSIONS (Metric Ton CO2e),COMPLIANCE STATUS,% DIFFERENCE FROM NATIONAL MEDIAN SOURCE EUI,% DIFFERENCE FROM NATIONAL MEDIAN SITE EUI,ENERGY STAR SCORE,ENERGY STAR CERTIFICATION - ELIGIBILITY,ENERGY STAR CERTIFICATION - LAST APPROVAL DATE,ENERGY STAR CERTIFICATION - YEAR(S) CERTIFIED,ENTITY RESPONSIBLE FOR BENCHMARK,GROSS BUILDING FLOOR AREA (ft²),INDOOR WATER USE (kgal),INDOOR WATER USE INTENSITY (gal/ft²),NUMBER OF BUILDINGS,OCCUPANCY,OUTDOOR WATER USE (kgal),POSTAL CODE,PROGRAM YEAR,PROPERTY TYPE,SITE ENERGY USE INTENSITY (EUI) (kBtu/ft²),Source EUI (kBtu/ft²),TOTAL WATER USE (kgal),WEATHER NORMALIZED SITE ENERGY USE INTENSITY (EUI) (kBtu/ft²),WEATHER NORMALIZED SOURCE ENERGY USE INTENSITY (EUI) (kBtu/ft²),YEAR BUILT
8631 W 3RD ST,4.46E+11,932.8,COMPLIED,-27.3,-27.3,70,No,Not Available,Not Available,The RMR Group LLC,173674,Not Available,Not Available,0,100,Not Available,90048,2016,Medical Office,65.2,187,5010.8,65.1,183.5,1979
5055 WILSHIRE BLVD,4.59E+11,600.8,COMPLIED,-50.6,-50.6,96,No,11/27/2016,"2016, 2015, 2014, 2013, 2012, 2011, 2010, 2009, 2008, 2007, 2006, 2005, 2004, 2003, 2002",The Somerset Group,188169,2310.4,12.28,1,95,685.1,90036,2016,Office,42.1,132.2,5054.1,42,131.9,1992
7990 SAN FERNANDO RD,4.52E+11,52.9,COMPLIED,-69.6,-69.6,Not Available,No,Not Available,Not Available,Alpha Properties LLC,120000,Not Available,Not Available,1,100,Not Available,91352,2016,Non-Refrigerated Warehouse,5.8,18.3,634.3,5.8,18.3,1974
305 E 9TH ST,4.85E+11,393.6,COMPLIED,-4.9,-4.9,Not Available,No,Not Available,Not Available,3D Investments LLC,115750,1350.2,11.66,2,90,Not Available,90015,2016,Office,44.8,140.8,1350.2,44.7,140.4,1989
3335 S FIGUEROA ST,T00000000325,1464.2,COMPLIED,-37.4,-37.4,85,No,Not Available,Not Available,University Gateway,113624,Not Available,Not Available,1,90,19451.1,90007,2016,Multifamily Housing,42.5,133.4,19451.1,42.4,133.2,2010
1221 W 3RD ST,4.83E+11,342.7,COMPLIED,-63.9,-63.9,Not Available,No,Not Available,Not Available,GHP Management,283810,Not Available,Not Available,1,100,Not Available,90017,2016,Multifamily Housing,16.9,46.1,18334.8,17,46.2,2006
1461 FRANCISCO ST,4.70E+11,1847,COMPLIED,Not Available,Not Available,Not Available,No,Not Available,Not Available,Sunrider Manufacturing LP,900000,Not Available,Not Available,3,70,Not Available,90501,2016,Manufacturing/Industrial Plant,31.8,66.9,Not Available,Not Available,Not Available,2005
801 E 7TH ST,4.88E+11,621.4,COMPLIED,Not Available,Not Available,Not Available,No,Not Available,Not Available,"Vert Energy Group, Inc.",126550,Not Available,Not Available,1,100,Not Available,90021,2016,Manufacturing/Industrial Plant,72.5,173.5,2275.1,Not Available,Not Available,1925
15250 VENTURA BLVD,4.21E+11,507.4,COMPLIED,-43.4,-43.4,91,No,08/25/2010,"2010, 2006",Douglas Emmett Management LLC,122072,1626.3,13.32,1,90,Not Available,91403,2016,Office,52.6,140,1626.3,53.5,138.5,1984
6635 FALLBROOK AVE,3.72E+11,451.2,COMPLIED,-37.5,-37.5,83,No,12/03/2010,2010,Target,105968,0,0,1,100,Not Available,91307,2016,Retail Store,59.3,175.4,0,61.1,176.4,1985
7501 N TYRONE AVE,4.26E+11,106.9,COMPLIED,-5.9,-5.9,55,No,Not Available,Not Available,Los Angeles Department of Water and Power,22100,Not Available,Not Available,1,100,Not Available,91405,2016,Office,55.9,174.6,0.7,56.1,174.8,2007
269 S LA FAYETTE PARK PL,4.77E+11,176,COMPLIED,-37.9,-37.9,99,No,Not Available,Not Available,"Conservice, LLC",123450,Not Available,Not Available,1,95,Not Available,90057,2016,Multifamily Housing,18.8,59,8.8,18.8,59,1970
1111 S HOPE ST,4.82E+11,35.2,COMPLIED,Not Available,Not Available,Not Available,No,Not Available,Not Available,"PSP Investment Group, LLC",186610,Not Available,Not Available,1,100,Not Available,90015,2016,Parking,2.5,7.8,787.7,2.5,7.8,1999
606 S HILL ST,4.85E+11,681.3,COMPLIED,-7.1,-7.1,56,No,Not Available,Not Available,Western Jewelry Mart LLC,136714,210864.1,1542.37,1,95,Not Available,90014,2016,Office,57.4,180.3,210864.1,57.3,179.8,1913
9451 CORBIN AVE,3.91E+11,515.4,COMPLIED,-27.8,-27.8,80,No,Not Available,Not Available,"Conway Real Estate Services, Inc.",113965,Not Available,Not Available,1,80,Not Available,91324,2016,Office,59.6,187.2,2563.6,57.4,180.3,1980
1714 MCCADDEN PL,T00000000309,644.6,COMPLIED,6.2,6.2,37,No,Not Available,Not Available,AUM,249999,Not Available,Not Available,1,95,Not Available,90028,2016,Multifamily Housing,37.5,93.2,7886,37.6,93.2,2010
600 S BROADWAY,4.85E+11,Not Available,COMPLIED,Not Available,Not Available,Not Available,No,Not Available,Not Available,"Golden Hills Properties, LLC",188000,Not Available,Not Available,1,70,Not Available,90014,2016,Mixed Use Property,Not Available,Not Available,2752.7,Not Available,Not Available,1909
112 W 9TH ST,4.84E+11,7.1,COMPLIED,-99.6,-99.6,100,No,Not Available,Not Available,L.A. Apparel Mart,155614,Not Available,Not Available,1,95,Not Available,90015,2016,Mixed Use Property,0.9,0.9,1122.1,Not Available,Not Available,1913
16100 VENTURA BLVD,4.15E+11,496.5,COMPLIED,Not Available,Not Available,Not Available,No,Not Available,Not Available,Worthe Real Estate Group,91121,Not Available,Not Available,1,95,Not Available,91436,2016,Multifamily Housing,81.7,187.9,2868,80.3,183.4,2009
8333 VAN NUYS BLVD,4.26E+11,1006.2,COMPLIED,123.6,123.6,Not Available,No,Not Available,Not Available,"Wal-Mart Stores, Inc.",142082,4969.5,34.98,0,100,Not Available,91402,2016,Retail Store,81.8,255.9,4969.5,80,250.4,1998
950 FRANCISCO ST,4.73E+11,61,COMPLIED,-45.1,-45.1,82,No,Not Available,Not Available,"Unire Real Estate Group, Inc.",84240,Not Available,Not Available,1,100,Not Available,90502,2016,Non-Refrigerated Warehouse,8.3,26.2,459.2,8.3,26.2,1981
538 S FLOWER ST,4.84E+11,10075.2,COMPLIED,816.7,816.7,Not Available,No,Not Available,Not Available,"Vert Energy Group, Inc.",207021,Not Available,Not Available,1,100,Not Available,90071,2016,Other - Entertainment/Public Assembly,901.3,1026.7,3266.7,Not Available,Not Available,1929
5536 LINDLEY AVE,4.03E+11,360.2,COMPLIED,-22.9,-22.9,87,No,Not Available,Not Available,equity residential,160710,Not Available,Not Available,1,95,Not Available,91316,2016,Multifamily Housing,36.5,76.6,9166.6,37.2,77.3,2004
21311 VANOWEN ST,3.81E+11,37.8,COMPLIED,-77.2,-77.2,Not Available,No,Not Available,Not Available,Public Storage,123180,657,5.33,1,100,Not Available,91303,2016,Self-Storage Facility,3.7,10.9,657,3.7,10.8,1990
5000 LONG BEACH AVE,4.89E+11,0,COMPLIED,Not Available,Not Available,Not Available,No,Not Available,Not Available,AAAA,112000,Not Available,Not Available,1,90,Not Available,90058,2016,Non-Refrigerated Warehouse,Not Available,Not Available,Not Available,Not Available,Not Available,1946
2011 N SOTO ST,5.02E+11,348.7,COMPLIED,-38.9,-38.9,Not Available,No,Not Available,Not Available,University of Southern California,82884,2780.9,33.55,1,100,Not Available,90031,2016,College/University,59.1,160.4,2780.9,59.1,160.4,2011
1800 AVENUE OF THE STARS,4.35E+11,1369.3,COMPLIED,-32.5,-32.5,81,No,Not Available,Not Available,Topa Management,382696,Not Available,Not Available,1,100,Not Available,90067,2016,Office,47.2,148.1,5417.9,47.2,148.1,1962
1010 W 25TH ST,4.76E+11,Not Available,COMPLIED,Not Available,Not Available,Not Available,No,Not Available,Not Available,"City of Los Angeles, Recreation and Parks",8750,Not Available,Not Available,1,100,Not Available,90007,2016,Other - Recreation,Not Available,Not Available,0,Not Available,Not Available,1961
7000 W MANCHESTER AVE,4.36E+11,Not Available,COMPLIED,Not Available,Not Available,Not Available,No,Not Available,Not Available,"City of Los Angeles, Recreation and Parks",8755,Not Available,Not Available,1,100,Not Available,90045,2016,Other - Recreation,Not Available,Not Available,Not Available,Not Available,Not Available,2000
12224 MONTAGUE ST,4.41E+11,70.1,COMPLIED,Not Available,Not Available,Not Available,No,Not Available,Not Available,"Vert Energy Group, Inc.",113500,Not Available,Not Available,1,100,Not Available,91331,2016,Manufacturing/Industrial Plant,8.8,24.6,511.7,8.8,24.6,1979
4553 GLENCOE AVE,4.31E+11,357.6,COMPLIED,-29.8,-29.8,79,No,12/14/2017,"2017, 2016, 2015, 2014, 2013, 2011, 2009",ABM Engineering Services,74827,Not Available,Not Available,1,90,Not Available,90292,2016,Office,63,197.8,353.7,63,197.8,1984
7011 S HOOVER ST,4.74E+11,Not Available,COMPLIED,Not Available,Not Available,Not Available,No,Not Available,Not Available,"City of Los Angeles, Recreation and Parks",11800,Not Available,Not Available,1,100,Not Available,90044,2016,Other - Recreation,Not Available,Not Available,Not Available,Not Available,Not Available,1988
21550 OXNARD ST,3.80E+11,776.7,COMPLIED,-51.6,-51.6,94,No,10/19/2017,"2017, 2010",650186,234781,3693.8,15.73,1,90,Not Available,91367,2016,Office,46.3,126.6,3693.8,47.5,126,1990
510 S BURNSIDE AVE,4.56E+11,174.8,COMPLIED,-58.5,-58.5,100,No,Not Available,Not Available,AUM,192306,Not Available,Not Available,1,95,Not Available,90036,2016,Multifamily Housing,12,37.6,10640.4,12,37.6,1951
15420 COBALT ST,4.20E+11,573.2,NOT COMPLIED,224.1,224.1,Not Available,No,Not Available,Not Available,"Anheuser-Busch Sales of LA, Sylmar",122140,Not Available,Not Available,1,20,Not Available,91342,2016,Non-Refrigerated Warehouse,61.9,194.3,619.4,60.2,189.1,1974
8720 BEVERLY BLVD,4.46E+11,4785.9,COMPLIED,466.3,466.3,Not Available,No,Not Available,Not Available,Cedars-Sinai Medical Center,215598,33708.1,156.35,1,100,Not Available,90048,2016,Laboratory,303,697.2,33708.1,300.7,678.9,1989
560 N WESTERN AVE,4.68E+11,Not Available,COMPLIED,Not Available,Not Available,Not Available,No,Not Available,Not Available,"City of Los Angeles, Recreation and Parks",36500,Not Available,Not Available,1,100,Not Available,90732,2016,Other - Recreation,Not Available,Not Available,17915.1,Not Available,Not Available,1967
9861 N RESEDA BLVD,4.00E+11,49.9,COMPLIED,-32.8,-32.8,Not Available,No,Not Available,Not Available,ece_cola_gsd,15566,Not Available,Not Available,1,100,Not Available,91324,2016,Fire Station,49.8,103.8,166.7,50.8,102.3,1980
1050 INGRAHAM ST,4.82E+11,171.2,COMPLIED,-44.1,-44.1,99,No,Not Available,Not Available,equity residential,147000,Not Available,Not Available,1,95,Not Available,90017,2016,Multifamily Housing,15.4,48.2,4395.6,15.4,48.2,2008
6200 CANOGA AVE,3.81E+11,295.3,COMPLIED,-22.3,-22.3,Not Available,No,Not Available,Not Available,Gelb Enterprises,106246,Not Available,Not Available,1,75,Not Available,91367,2016,Office,36.6,115.1,1696.6,36.5,114.6,1978
525 S HEWITT ST,4.90E+11,192.9,COMPLIED,-42.3,-42.3,88,No,Not Available,Not Available,Los Angeles Department of Water and Power,60000,Not Available,Not Available,1,100,Not Available,90013,2016,Office,42.4,133.1,462.8,42.4,133.1,1923
654 S FIGUEROA ST,4.83E+11,1724.5,NOT COMPLIED,20,20,Not Available,No,Not Available,Not Available,Fig Asset Capital,401983,Not Available,Not Available,1,35,Not Available,90017,2016,Office,56.6,177.6,4.2,56.6,177.6,1988
15265 W BRAND BLVD,4.21E+11,245.9,COMPLIED,32.9,32.9,Not Available,No,Not Available,Not Available,ece_cola_gsd,47289,Not Available,Not Available,1,100,Not Available,91345,2016,Other - Public Services,82.1,163.6,1647.4,83.9,163.1,1990
5161 LANKERSHIM BLVD,4.48E+11,770.7,NOT COMPLIED,Not Available,Not Available,Not Available,No,Not Available,Not Available,JLL,205298,1601.1,7.8,1,90,Not Available,91601,2016,Office,52.1,145.6,1601.1,51.7,142.1,1985
600 S SPRING ST,4.86E+11,795.9,COMPLIED,12.3,12.3,31,No,Not Available,Not Available,"DTLA Management, LLC",389191,Not Available,Not Available,1,95,Not Available,90014,2016,Multifamily Housing,27,84.7,Not Available,27,84.7,1959
11818 RIVERSIDE DR,4.43E+11,270.2,COMPLIED,7.2,7.2,39,No,Not Available,Not Available,"Vert Energy Group, Inc.",96280,Not Available,Not Available,1,100,Not Available,91607,2016,Multifamily Housing,45.6,86.8,5036.6,Not Available,Not Available,1987
639 N BROADWAY,4.89E+11,464,COMPLIED,-49.6,-49.6,100,No,Not Available,Not Available,equity residential,382200,Not Available,Not Available,1,95,Not Available,90012,2016,Multifamily Housing,16.4,48.6,8408.1,16.5,48.7,2013
10777 SANTA MONICA BLVD,4.30E+11,1208.6,COMPLIED,181.8,181.8,Not Available,No,Not Available,Not Available,Los Angeles Temple,190614,3637,19.08,1,100,Not Available,90025,2016,Worship Facility,86.6,199.1,13391.6,88.5,197.1,1956
1437 W 190TH ST,4.69E+11,64,COMPLIED,-75,-75,Not Available,No,Not Available,Not Available,Public Storage,194364,61,0.31,1,100,Not Available,90248,2016,Self-Storage Facility,3.8,11.9,61,3.7,11.5,2011
5400 W CENTURY BLVD,4.48E+11,2952.6,COMPLIED,-12.5,-12.5,65,No,Not Available,Not Available,Host Hotels and Resorts,597280,24942,41.76,1,100,Not Available,90045,2016,Hotel,66.5,157.5,24942,67.7,157.5,1990
701 WORLD WAY,4.40E+11,160.2,COMPLIED,Not Available,Not Available,Not Available,No,Not Available,Not Available,Los Angeles World Airports,655476,Not Available,Not Available,1,0,Not Available,90045,2016,Parking,3.2,10.1,Not Available,Not Available,Not Available,1975
4818 E KLAMATH PL,5.07E+11,Not Available,COMPLIED,Not Available,Not Available,Not Available,No,Not Available,Not Available,"City of Los Angeles, Recreation and Parks",10560,Not Available,Not Available,1,100,Not Available,90032,2016,Other - Recreation,Not Available,Not Available,272.3,Not Available,Not Available,1979
12729 W RIVERSIDE DR,4.38E+11,122.1,COMPLIED,-33.8,-33.8,97,No,Not Available,Not Available,AUM,65990,Not Available,Not Available,1,95,Not Available,91607,2016,Multifamily Housing,27.5,64.7,2322,27.9,65.1,2012
5200 LANKERSHIM BLVD,T00000000486,708.4,COMPLIED,-31.4,-31.4,79,No,Not Available,Not Available,Academy Tower,161409,Not Available,Not Available,1,85,Not Available,91601,2016,Office,57.9,181.7,2898.9,56.7,177.9,1989
101 WORLD WAY,4.40E+11,213.9,COMPLIED,Not Available,Not Available,Not Available,No,Not Available,Not Available,Los Angeles World Airports,515896,Not Available,Not Available,1,50,Not Available,90045,2016,Parking,5.5,17.2,Not Available,Not Available,Not Available,1984
12901 CULVER BLVD,4.32E+11,22.3,COMPLIED,-87.3,-87.3,Not Available,No,Not Available,Not Available,EZ Storage related companies,133479,Not Available,Not Available,3,85,Not Available,90066,2016,Self-Storage Facility,1.9,6,39.4,Not Available,Not Available,1985
11021 W MCCORMICK ST,4.50E+11,407.2,COMPLIED,-28,-28,93,No,Not Available,Not Available,AUM,148782,Not Available,Not Available,1,95,Not Available,91601,2016,Multifamily Housing,42.6,88.4,5189.2,43.6,89.5,2010
11361 W PICO BLVD,4.28E+11,196.8,COMPLIED,117.6,117.6,Not Available,No,Not Available,Not Available,ece_cola_gsd,23063,Not Available,Not Available,1,100,Not Available,90064,2016,Other - Public Services,134.8,267.9,1931.6,142.5,269.1,1990
5351 SAN VICENTE BLVD,4.55E+11,573.4,COMPLIED,-15.4,-15.4,76,No,Not Available,Not Available,AUM,144090,Not Available,Not Available,10,95,Not Available,90019,2016,Multifamily Housing,63.1,105.2,9431,64.4,106.5,1964
21850 OXNARD ST,3.79E+11,1951.4,COMPLIED,-17,-17,70,No,Not Available,Not Available,Warner Center Marriott,387260,Not Available,Not Available,1,100,Not Available,91367,2016,Hotel,77.4,166.6,17964.1,79.4,167.7,1984
515 S OLIVE ST,4.85E+11,5003.3,COMPLIED,-11.4,-11.4,62,No,Not Available,Not Available,Millennium Biltmore Hotel,969219,35984.3,37.13,1,65,Not Available,90013,2016,Hotel,72.7,157.1,35984.3,72.7,156.9,1923
1046 W 36TH ST,4.74E+11,2278.2,COMPLIED,327.7,327.7,Not Available,No,Not Available,Not Available,University of Southern California,143139,4592.1,32.08,1,100,Not Available,90007,2016,Laboratory,244.4,526.6,4592.1,244.4,526.6,2004
431 S BURNSIDE AVE,4.55E+11,174.8,COMPLIED,-58.5,-58.5,100,No,Not Available,Not Available,AUM,192306,Not Available,Not Available,1,95,Not Available,90036,2016,Multifamily Housing,12,37.6,10640.4,12,37.6,1951
111 N HOPE ST,4.86E+11,6097.6,COMPLIED,-2,-2,52,No,Not Available,Not Available,Los Angeles Department of Water and Power,890000,Not Available,Not Available,1,100,Not Available,90012,2016,Office,90.6,284,20194.8,90.6,284,1965
1111 S GRAND AVE,4.82E+11,619.1,COMPLIED,4.5,4.5,41,No,Not Available,Not Available,Elleven HOA,286368,Not Available,Not Available,1,100,Not Available,90015,2016,Multifamily Housing,31,79.9,10634.7,30.9,79.6,2006
12121 W BLUFF CREEK DR,4.39E+11,914.3,COMPLIED,-7.7,-7.7,Not Available,No,Not Available,Not Available,The Bluffs At Playa Vista,242010,3490.4,14.42,1,100,Not Available,90094,2016,Office,43.5,136.7,3490.4,43.5,136.7,2009
425 S PALOS VERDES ST,4.76E+11,1012.2,COMPLIED,Not Available,Not Available,Not Available,No,Not Available,Not Available,Port of Los Angeles,261120,Not Available,Not Available,1,100,Not Available,90731,2016,Office,102.6,322.2,2332.3,101.9,320,1982
11041 VANOWEN ST,4.49E+11,36.2,COMPLIED,-91.3,-91.3,Not Available,No,Not Available,Not Available,"AHS Trinity Group, Inc.",122646,Not Available,Not Available,1,100,Not Available,91605,2016,Other,3.4,10.7,1645.5,3.4,10.7,1958
19301 PACIFIC GATEWAY DR,4.72E+11,173.3,COMPLIED,-25.2,-25.2,Not Available,No,Not Available,Not Available,Sumitomo Warehouse(U.S.A.) Inc.,160000,Not Available,Not Available,1,100,Not Available,90502,2016,Distribution Center,14.3,44.8,1174.4,14.1,44.2,1976
5990 SEPULVEDA BLVD,4.21E+11,749.3,COMPLIED,-25.8,-25.8,74,No,08/15/2017,"2017, 2016, 2015, 2004, 2002",Kennedy Wilson,149668,3220.4,21.52,1,80,Not Available,91411,2016,Office,70.1,191.5,3220.4,68.9,187.6,1989
127 S SAN VICENTE BLVD,T00000000217,2806.2,COMPLIED,21.1,21.1,Not Available,No,Not Available,Not Available,Cedars-Sinai,818090,Not Available,Not Available,1,100,Not Available,90048,2016,Medical Office,45.4,141.3,7000.6,45.4,141.3,2013
400 S HOPE ST,4.85E+11,2607.9,COMPLIED,-42.4,-42.4,90,No,02/07/2017,"2017, 2016, 2015, 2014, 2012, 2011, 2010, 2009, 2008, 2007, 2006, 2005, 2004, 2003",Maximum Energy Professionals,704731,8860.1,12.57,1,85,4638.4,90071,2016,Office,50.1,148,16800,50.1,147.7,1982
701 E 3RD ST,4.90E+11,398.3,COMPLIED,91.7,91.7,8,No,Not Available,Not Available,"Vert Energy Group, Inc.",51280,946.3,18.45,1,90,Not Available,90013,2016,Office,111.5,303.6,946.3,Not Available,Not Available,1924
11600 N ELDERIDGE AVE,4.46E+11,628.6,COMPLIED,-28.9,-28.9,Not Available,No,Not Available,Not Available,Phoenix House California,119093,Not Available,Not Available,1,70,Not Available,91342,2016,Residential Care Facility,81.5,172.8,8272.5,83.6,170.6,1976
512 ROSE AVE,4.18E+11,383,COMPLIED,66.6,66.6,2,No,Not Available,Not Available,"AvalonBay Communities, Inc",105635,Not Available,Not Available,1,95,Not Available,90291,2016,Multifamily Housing,53.4,128.6,3821.8,53.4,128.6,2012
957 N GAFFEY ST,4.72E+11,149.2,COMPLIED,151.7,151.7,Not Available,No,Not Available,Not Available,ece_cola_gsd,16093,Not Available,Not Available,1,100,Not Available,90731,2016,Other - Public Services,141.5,309.9,1443.6,147.5,313.7,1990
11805 W SHELDON ST,4.43E+11,44,COMPLIED,-71.5,-71.5,100,No,Not Available,Not Available,Los Angeles Department of Water and Power,41172,Not Available,Not Available,1,100,Not Available,91352,2016,Office,14.1,44.3,170.1,14.1,44.3,1955
5700 W 6TH ST,4.55E+11,166.3,COMPLIED,-51.5,-51.5,100,No,Not Available,Not Available,Masselin Manor,104900,Not Available,Not Available,1,95,Not Available,90036,2016,Multifamily Housing,26.8,42.9,3897.4,26.9,43,1986
3333 WILSHIRE BLVD,4.72E+11,870.7,COMPLIED,-32.8,-32.8,80,No,Not Available,Not Available,3333 Wilshire Building LLC,248000,Not Available,Not Available,1,70,Not Available,90010,2016,Office,46.4,144.9,4400.4,Not Available,Not Available,1982
19701 HAMILTON AVE,4.74E+11,0,COMPLIED,Not Available,Not Available,Not Available,No,Not Available,Not Available,"Kennedy Wilson Properties, Ltd.",122751,Not Available,Not Available,1,55,Not Available,90502,2016,Office,Not Available,Not Available,Not Available,Not Available,Not Available,1984
22235 SHERMAN WAY,3.77E+11,1081.5,COMPLIED,50.6,50.6,Not Available,No,Not Available,Not Available,"Capital Foresight, LP",248954,7893.4,31.71,3,100,Not Available,91303,2016,Other - Entertainment/Public Assembly,63,128.2,7893.4,63.3,126.7,1980
15860 OLDEN ST,4.18E+11,148.6,COMPLIED,-28.4,-28.4,70,No,Not Available,Not Available,spears manufacturing,175000,Not Available,Not Available,1,100,Not Available,91342,2016,Distribution Center,9.8,30.7,891,9.8,30.7,1977
20801 DEVONSHIRE ST,3.84E+11,299.9,COMPLIED,-35.3,-35.3,94,No,Not Available,Not Available,Brookdale Senior Living,137710,6681.1,48.52,1,100,Not Available,91311,2016,Senior Care Community,28.6,70.9,6681.1,29.4,73,2000
555 W REDONDO BEACH BLVD,4.75E+11,91.9,COMPLIED,-60.9,-60.9,97,Yes,Not Available,Not Available,Armonia Investments LLC,48573,Not Available,Not Available,1,75,Not Available,90248,2016,Office,22.1,67.8,531.4,21.6,66.3,1984
740 W 182ND ST,4.74E+11,450.1,COMPLIED,-35.9,-35.9,79,No,Not Available,Not Available,The Muller Company,135000,2.8,0.02,1,100,Not Available,90248,2016,Retail Store,39.1,119.2,2.8,39.3,118.7,1964
