natural_gas_use_kbtu,portfolio_manager_id,postal_code,property_name,source_eui_kbtu_ft,total_ghg_emissions_mtco2e,district_steam_use_kbtu,site_eui_kbtu_ft,primary_property_type_epa_calculated,number_of_buildings,energy_star_score,location_1_address,year_built,fuel_oil_2_use_kbtu,property_floor_area_buildings_and_parking_ft,water_use_all_water_sources_kgal,electricity_use_kbtu,notes,philadelphia_building_id
Not Available,3800032,19116,23103-Philadelphia / Byberry Road,10.2,41.5,Not Available,4,Non-Refrigerated Warehouse,1,100,1251 Byberry Road,2000,Not Available,90551,160,263191.40,,884236410
Not Available,3774263,19135,State 6225 LP,35.8,109.8,Not Available,11.4,Non-Refrigerated Warehouse,2,Not Available,6201 Tacony St,1929,Not Available,72000,142.7,820184.40,,884178501
Not Available,3578915,19107,21 S. 12th St.,,,Not Available,,Office,1,Not Available,21 S. 12th St.,1896,Not Available,105890,2703.90,,,883017910
Not Available,3782718,19148,Pier 80 South,15.4,380.9,Not Available,4.9,Non-Refrigerated Warehouse,2,Not Available,2101 S. Columbus Blvd,1930,Not Available,581000,,2845270.20,,884463835
Not Available,3800037,19135,24417-Philadelphia / Tacony Street,9.6,20.6,Not Available,3.1,Non-Refrigerated Warehouse,1,100,6301 Tacony Street,2000,Not Available,50050,30,153724.20,,884178700
"49,618.70",3892828,19140,215-251 West Erie Ave.,25.4,104.1,Not Available,8.4,Non-Refrigerated Warehouse,1,74,215-251 West Erie Ave.,1950,Not Available,95928,17.2,757992.20,,884040500
"7,255,378.00",3958048,19154,2800 Comly Rd.,113.4,505.5,Not Available,88.6,Non-Refrigerated Warehouse,1,38,2800-48 Comly Rd,1981,Not Available,92000,257.1,897701.00,,884290000
"573,897.80",3958052,19133,COFCO - 2400,15.2,43.6,Not Available,11.2,Non-Refrigerated Warehouse,1,78,2400-10 NORTH AMERICAN STREET,1920,Not Available,59850,40.4,,,884604601
"59,651.40",3958558,19131,Warehouse,14.1,34.8,Not Available,5.2,Non-Refrigerated Warehouse,1,83,884219050,1950,Not Available,56976,43.8,236107.70,,884219050
"82,437.40",3963466,19135,Mar Vick Bren INC,15.2,81.8,Not Available,5.3,Non-Refrigerated Warehouse,1,Not Available,5101-49 unruh ave.,1950,Not Available,125000,40.7,578301.90,,884180500
"318,060.00",3963906,19134,SOMERSET WAREHOUSE,14.6,43,Not Available,7.9,Non-Refrigerated Warehouse,1,99,2801-31 A ST,1945,Not Available,65000,9,195033.30,,884340880
Not Available,3891496,19148,Pier 74 Annex,22.4,110,Not Available,7.1,Non-Refrigerated Warehouse,1,70,1901 S. Columbus Blvd,2007,Not Available,115000,,821352.30,,771528000
Not Available,4051453,19140,"R.B. Hoffman, Inc.",1.6,8.3,Not Available,0.5,Non-Refrigerated Warehouse,4,Not Available,300-322 W. Hunting Park Avenue,1925,Not Available,125000,,62184.80,,884042000
"612,400.00",1406842,19107,57164- Residence Inn Philadelphia - Center City,225.3,2500.50,"10,671,052.80",100.5,Not Available,1,28,One East Penn Square,1990,Not Available,,10499.00,13143433.40,,883704600
Not Available,4096196,19120,Tin K. Luu,8.9,20,Not Available,2.8,Non-Refrigerated Warehouse,1,100,5697 Rising Sun Ave.,1960,Not Available,52782,,149706.60,,884116452
"11,389,216.40",3954640,19154,Parkwood Shopping Center,407.2,1366.00,Not Available,233.2,Not Available,5,Not Available,12301-75 Academy Road,1964,Not Available,,2939.10,5685013.00,,882078060
"1,389,127.30",3980656,19139,the emmanuel church,,151.8,Not Available,,Not Available,1,Not Available,4723-41 spruce st.,1930,Not Available,,56.1,582896.20,,774024000
96,1238832,19102,Three Parkway,171.6,4637.10,"11,465,119.80",66.3,Office,1,83,1601-45 Cherry Street,1970,Not Available,610065,7401.00,28952921.80,,883060510
Not Available,1476210,19102,1515 Market Street,191.6,4786.90,"11,836,326.20",74,Office,1,72,Suite 1040,1958,Not Available,564078,7657.20,29887901.90,,883337500
Not Available,16288,19103,One Commerce Square,236.9,10323.50,Not Available,75.5,Office,1,77,2005 Market Street,1987,Not Available,1117466,16630.90,77118467.60,,883054371
Not Available,26081,19103,12589 Ten Penn Center,148.2,4548.10,"11,405,010.90",57.3,Office,1,98,1801 Market Street,1981,Not Available,718644,9384.00,28318040.70,,883054000
Not Available,1439909,19103,Arch 1650 Partners LP,181.6,5490.50,"23,502,600.60",79.7,Office,1,75,1650 Arch Street,1974,Not Available,663328,5946.20,29357799.90,,883058000
Not Available,1218039,19103,Three Logan Square,218.5,11743.60,"26,105,469.70",82.8,Office,1,79,1717 Arch Street,1990,Not Available,1377698,16643.70,74778381.50,,883059004
"16,992.30",1496733,19112,L01973 - One Crescent Drive,167,562.7,Not Available,53.3,Office,1,86,One Crescent Drive,2005,Not Available,79034,1160.20,4196637.20,,788012000
"22,613,357.00",1516994,19106,Curtis Center,139.4,6976.70,Not Available,57.6,Office,1,88,170 S Independence W ML,1910,Not Available,1141839,18975.80,43144671.80,,883002510
Not Available,1650661,19103,Four Penn Center,197.8,9415.20,"18,185,649.70",83.7,Office,1,78,1600 JFK Blvd,1964,Not Available,543134,4401.80,27253786.70,,883056000
"2,364,494.30",1767519,19103,L61864 - 1701 JFK Blvd,273.1,18334.30,"26,438,556.70",98.6,Office,1,77,1701 JFK Blvd,2008,Not Available,1538959,36377.90,122908531.20,,883056605
"13,134.00",1960820,19112,L02152 - Three Crescent Drive,317.8,1297.90,Not Available,101.3,Office,1,29,Three Crescent Drive,2008,Not Available,95800,2963.20,9690465.60,,788013000
"18,745,117.30",2365631,19102,One Parkway Building,272.5,5988.40,Not Available,111.6,Office,1,63,1515-29 Arch St,1962,Not Available,502000,10778.60,37296981.40,,772059100
"26,960,883.80",1485500,19103,153-ONE LOGAN SQUARE,181.8,8843.50,Not Available,74,Office,1,88,130 NORTH 18TH STREET,1983,Not Available,1128787,12726.60,55365022.70,,883061505
"7,323,666.10",2902083,19106,Constitution Place,174.4,1786.40,Not Available,76.5,Office,1,75,325 Chestnut St.,1955,Not Available,232097,7512.40,10438543.10,,883302500
"5,019,898.60",3479994,19104,3711 Market St.,739.2,4948.90,Not Available,256.9,Office,1,1,3711 Market St,2008,Not Available,155715,6598.20,34977538.00,,
"31,428,605.10",3279877,19106,One Washington Square,161.9,7915.20,Not Available,70.4,Office,1,83,510 Walnut Street,1930,Not Available,1108655,13979.60,46658076.40,,883006500
"269,055.70",3326513,19124,3624 Market St,282.7,2722.30,Not Available,90.8,Office,1,41,3624 Market St.,1975,Not Available,225688,1526.70,20229284.00,,
-,3339848,19106,Police Administration Building,492,2750.10,"7,093,388.50",191.4,Office,1,5,750 Race Street,1956,Not Available,126000,4997.30,17025480.80,,781379300
"5,804,381.40",3529858,19102,230 S. Broad,242,2248.90,Not Available,95.2,Office,1,54,230 S. Broad St.,1908,Not Available,213276,4902.80,14496782.80,,883048000
"51,846,006.00",3575688,19109,123 S. Broad,194.2,9489.60,Not Available,93.4,Office,2,Not Available,123 S. Broad St.,1928,Not Available,1094000,23546.20,50317992.30,,883025600
Not Available,3512108,19126,GLC 17110/6468 N BROAD ST/PHILADELPHIA/PA,225,556.1,Not Available,71.9,Office,1,33,6468 N BROAD ST,1905,"23,680.80",57899,1215.00,4140752.00,,776614005
Not Available,3512081,19104,GLC 13090/3810 CHESTNUT ST/PHILADELPHIA/PA,406.5,1340.10,Not Available,140.3,Office,1,3,3810 CHESTNUT ST,1905,Not Available,75176,139,9348160.10,,773620005
"4,291.90",3596562,19102,1429-1433 Walnut St.,168.6,574.2,"1,047,231.40",62.1,Office,1,60,1429-1433 Walnut St.,1916,Not Available,76989,610.3,3768206.00,,888008704
"2,612,611.60",3596612,19102,1500-1506 Walnut St.,257.3,3192.30,"9,905,422.90",110.4,Office,1,56,1500-1506 Walnut St.,1930,Not Available,329425,6756.50,17897414.00,,883040500
Not Available,3619714,19107,Girard Square (South),191.4,2806.40,"15,332,234.60",90.9,Office,2,Not Available,1101-1153 Chestnut St. and 21 S. 12th St.,1896,Not Available,269726,4383.10,13359187.80,,882495700
Not Available,3619725,19107,Girard Square (North),66.1,2012.20,"5,153,144.00",25.7,Office,2,Not Available,1100-1142 Market St. and 34 S. 11th St.,1916,Not Available,407605,3911.50,12475483.30,,883017900
Not Available,3638910,19114,Star Technical Academy,152.6,333.7,Not Available,48.6,Office,1,95,2361-73 Welsh Rd.,1950,Not Available,51300,1006.50,2492749.90,,883381115
"4,384,978.50",3584130,19123,417 N.8th Street,139.1,665.9,Not Available,71.8,Office,1,86,417 N. 8th Street,1925,Not Available,106124,3380.70,3234290.10,,883523050
"64,179.80",3597476,19107,215 S. Broad,231.3,509.4,"746,642.00",83.7,Office,1,49,215 S. Broad St.,1930,Not Available,50456,1446.40,3409874.70,,883026005
Not Available,3679860,19103,8 Penn,201.1,2120.30,"6,986,051.70",82.4,Office,1,78,1628 JFK Blvd,1981,Not Available,235000,12181.90,12373860.30,,883056500
"1,064,783.40",3682419,19104,4100 Chester / 4101 Woodland Avenue,185.8,444.5,Not Available,72.1,Office,1,Not Available,4116-18 Chester Avenue,1920,Not Available,55000,454.9,2898152.80,,883080550
"1,544,180.50",3685108,19123,Riverview Place,147.2,1192.90,Not Available,52.3,Office,1,89,520 N. Christopher Columbus Boulevard,1929,Not Available,188046,4747.00,8298304.70,,883522900
"1,400,146.50",3696768,19125,Penn Treaty Park Place,171.1,1067.20,Not Available,60.9,Office,1,88,1334-76 Beach st,1911,Not Available,178680,1166.60,7416517.70,,883365200
Not Available,3643346,19107,901 Walnut Street Building,303.2,1264.20,"7,113,852.00",194.3,Office,1,40,901 Walnut Street,2010,Not Available,85000,713.6,3653474.10,,771017500
"4,816,247.10",3727349,19129,Sewer Maintenance Headquarters,216.3,639.7,Not Available,118.2,Office,3,Not Available,Fox St and Abbottsford Ave,1959,Not Available,65000,1785.60,2867990.70,,884461920
"323,220.30",3759390,19107,1207 Chestnut,179.6,407.6,"619,644.20",68.7,Office,1,47,1207-09 Chestnut Street,1925,Not Available,51676,1036.60,2609497.60,,883311000
Not Available,3776439,19104,Academic Properties,178.9,4538.40,"8,398,796.10",65.9,Office,2,Not Available,3025-53 Market Street,1956,Not Available,625368,5599.00,29736811.70,,774524700
"11,154.50",3782888,19112,LT02214 - 150 Rouse Blvd,184.4,459.1,Not Available,58.9,Office,1,69,150 Rouse Blvd,2012,Not Available,58386,532.5,3425460.30,,788042700
Not Available,3823104,19107,907 Market,214.1,3495.60,Not Available,68.2,Office,1,Not Available,907-937 Market Street,1977,Not Available,383012,3359.60,26112401.10,,882506600
"11,504,470.10",3831243,19107,The Widener Building,214.7,4524.20,Not Available,84.2,Office,1,57,1327-39 Chestnut St,1914,Not Available,550707,6489.70,29231504.80,,883312000
Not Available,3876346,19104,Left Bank,244.3,1028.00,Not Available,77.8,Office,1,46,3118-98 Chestnut Street,1923,Not Available,98707,16167.60,7679129.10,,774515050
"1,267,408.60",3788588,19154,crown cork and seal usa inc.,306.3,3065.40,Not Available,101.2,Office,1,22,12345 roosevelt blvd,1997,Not Available,242300,5364.30,22396436.20,,883095000
Not Available,3884289,19107,Young Smyth Field Condominium Association,141,783.8,"2,159,159.40",55.5,Office,1,83,1216 Arch Street,1902,Not Available,125000,1217.70,4784115.30,,
"425,051.60",3790349,19102,Bellet,185.7,1083.20,"3,596,990.60",78.4,Office,1,73,1501 Race Street,1960,Not Available,129532,2061.80,6138948.90,,772027000
"2,483,486.70",3884458,19144,CAMM,52.7,216.2,Not Available,35.8,Office,1,99,427-433 E Chelten Ave,1872,Not Available,87000,441.2,629393.60,,775510300
"1,533,731.00",3892834,19151,2801-2817 Southampton Rd,56.5,164.5,Not Available,34.2,Office,1,100,2801-2817 Southampton Rd,1998,Not Available,63000,606.4,620296.50,,884291400
"560,401.20",3892835,19154,2825-2845 Southampton Rd,13.6,43,Not Available,10,Office,1,100,2825-2845 Southampton Rd,1984,Not Available,66000,460.6,98776.30,,884291510
"888,782.70",3960818,19122,800 Building,89.1,739.3,Not Available,31.5,Office,1,Not Available,800-16 W Mongomery Avenue,1900,Not Available,222640,20626.90,5170063.70,,781293900
"1,063,818.40",3885323,19102,1520 Locust street,156.7,343,Not Available,64.1,Office,1,76,1520 Locust Street,1940,Not Available,50000,1224.00,2140126.80,,881030400
"59,569.60",3960823,19122,1800 Building,143,2854.10,Not Available,45.6,Office,1,Not Available,1800 N 9TH Street,1900,Not Available,518161,78317.60,21296915.80,,781597600
"240,012.00",3944259,19130,1500 Spring Garden,557.8,27643.60,Not Available,177.8,Office,1,Not Available,1500 Spring Garden Street,1948,Not Available,1205490,10829.70,206407336.40,,883026600
"2,258,508.20",3998864,19104,AFSCME DISTRICT COUNCIL 33,141.3,1103.20,Not Available,53.4,Office,1,Not Available,3001,1978,Not Available,208000,2981.30,7344858.90,,883075500
"29,535,310.00",4096299,19103,"Urban Outfitters, Inc. - Building #007, 025, 543",324.5,3191.40,Not Available,195.7,Office,3,Not Available,5000 S. 15th Street,1916,Not Available,212892,1143.00,12121334.70,,
"2,610,013.60",4141032,19123,Gift of Life Donor Program,212.1,924.9,Not Available,84.9,Office,1,70,401-35 N 03RD ST,2003,Not Available,112921,1366.90,5873543.00,,771023700
"17,209,099.30",4319459,19102,Municipal Services Building (MSB),240.1,5169.40,Not Available,99.8,Office,1,67,1401 JFK Blvd,1968,Not Available,491000,2817.30,31787908.20,,782003200
"8,247,659.50",3117089,19102,Hamilton/Furness,241.1,1264.10,Not Available,124,Other,7,Not Available,320 S. Broad Street/1499 Pine Street,1876,Not Available,116264,2661.40,6170625.90,,772508001
"385,918.30",3569510,19148,700 PACKER AVENUE,135.9,734.7,Not Available,45.3,Other,1,Not Available,700 PACKER AVENUE,1964,Not Available,120000,679.4,5335532.10,,884142500
Not Available,2848414,19104,Center for advance medicine,787.3,39480.50,"198,885,962.00",363.6,Other,3,Not Available,3400 Civic Center Blvd,2005,Not Available,1386775,74068.50,196275641.20,,773740100
"102,232.60",3570171,19144,5627-33 GERMANTOWN AVENUE,6.2,16.7,Not Available,3.1,Other,1,Not Available,5627-33 GERMANTOWN AVENUE,1930,Not Available,60000,,84507.50,,882072200
"880,343.00",3683056,19104,3010 Market Street,238.8,651.5,"2,197,023.80",108.4,Other,1,Not Available,3000-18 Market Street,1895,Not Available,80000,2311.00,3427640.60,,883074000
"1,879,198.30",3686205,19136,TORRESDALE PLAZA LP,59.9,480.7,Not Available,26,Other,1,Not Available,8803-35 TORRESDALE AVE,1969,Not Available,182000,1161.00,2845220.70,,882369810
"3,977,795.20",3788171,19121,1600 Broad Associates,304.8,1268.10,Not Available,124.9,Other,1,Not Available,1600-36 North Broad St,2006,Not Available,95045,1980.50,7894603.70,,882938305
Not Available,3666305,19128,"Penn Beer Distributors, Inc.",94.5,545.3,Not Available,30.1,Other,1,Not Available,401 Domino Lane,1972,Not Available,135420,,4073392.30,,884630430
"5,265,842.30",3577830,19153,3240 S. 78TH STREET,412.5,422.3,Not Available,294.3,Other,1,Not Available,3240 S. 78TH STREET,1980,Not Available,21512,149.2,1065167.00,,884166000
"40,839,339.40",3893226,19144,La Salle #6,451.8,5825.30,Not Available,239.3,Other,9,Not Available,625-635 E Wister St,1904,Not Available,284736,2491.80,27312135.30,,776008010
"2,597,401.30",3858410,19114,Christ the King,49.2,191.7,Not Available,37,Other,2,100,3252 Chesterfield Rd.,1963,Not Available,64693,1229.80,401616.30,,778113000
"312,633,773.00",3912172,19119,New Covenant Church of Philadelphia,1052.70,17465.10,Not Available,963.9,Other,13,Not Available,7500 Germantown Ave,1893,Not Available,331000,1515.90,6421790.00,,775165500
"1,173,380.70",3820151,19123,Schmidts Retail,349,1597.90,Not Available,118.4,Other,1,Not Available,180 W. Girard Ave.,2011,Not Available,127470,15391.10,11471031.40,,882932475
"674,380.30",3810865,19141,Burgess Center,,,Not Available,,Other,2,Not Available,200 W. Chelten Ave,1990,Not Available,86321,1799.90,,,882938075
"1,247,382.10",3993123,19147,Dickinson Square,135.9,282.7,Not Available,61,Other,1,Not Available,1500 South Christopher Columbus Blvd,1950,Not Available,69064,411.4,1616554.80,,883504600
"5,860,956.40",3884096,19140,Esperanza,127.5,1380.20,Not Available,56.5,Other - Education,1,Not Available,4231-4261 N 5th Street,1930,Not Available,181098,471.4,7985165.00,,883003900
"4,784,872.30",3783072,19152,Great Northeast Plaza,192.6,2329.00,Not Available,72.8,Other - Mall,13,Not Available,2101-41 Cottman Avenue,1960,Not Available,278814,2387.70,15499535.40,,882065120
"5,486,981.50",3989764,19131,Methodist Home for Children,125.3,655.2,Not Available,71.9,Other,9,Not Available,4300 Monument Rd,1900,Not Available,114073,24418.20,2717666.90,,881445900
"1,381,798.00",4014168,19103,MARKETPLACE DESIGN CENTER,377.1,5734.40,Not Available,122.7,Other,1,Not Available,2400 MARKET STREET,1921,Not Available,356000,2490.20,42288498.60,,884054000
Not Available,4140104,19104,Facilities 4100ches,4.8,13.9,Not Available,1.5,Other,1,Not Available,4100 Chestnut St.,1940,Not Available,67779,,104137.90,,884099200
"222,129.00",3962102,19106,LA Liberty,23.2,1077.10,Not Available,7.5,Other - Education,1,Not Available,105 S 7th Street,2003,Not Available,50000,2666.50,7957875.80,,883010510
"738,858.30",3657737,19107,Historical Society of Pennsylvania,297.5,993.7,"5,499,236.80",149.2,Other - Education,1,Not Available,1300 Locust Street,1910,Not Available,71316,1786.80,4402312.50,,771739000
Not Available,3971641,19142,6000 Woodland Partners LP,14.2,58.9,Not Available,4.5,Other - Mall,3,Not Available,6000 Woodland Avenue,1972,Not Available,97029,5907.60,439889.70,,882052200
"15,843,541.30",2705460,19149,Comly Depot,315.9,1546.50,Not Available,201,Other - Public Services,1,Not Available,6000 Penn Street,1921,-,105000,8286.90,5266080.80,,884353910
"11,963,570.70",3694576,19124,Frankford Depot,379,1814.70,Not Available,213,Other - Public Services,1,Not Available,Bridge Street && Frankford Avenue,1957,"2,141,069.80",102000,2625.70,7622667.30,,884353875
"1,612,918.90",3884224,19124,Boulevard/Unity District,265.8,610,Not Available,105,Other - Public Services,1,Not Available,4109 - 4111 Frankford Avenue,1950,Not Available,52642,757.1,3916597.30,,883087200
"572,126,440.50",1328441,19104,The Children's Hospital fo Philadelphia,475.3,88648.10,821.7,243.8,Other - Specialty Hospital,9,Not Available,34th Street and Civic Center Blvd.,1974,"1,957,823.90",4135887,641415.10,434124455.20,,773000800
"2,874,263.80",3774255,19128,Fairmont Hospital,197.4,775.9,Not Available,84.3,Other - Specialty Hospital,1,Not Available,561 Fairthorne Avenue,1997,Not Available,89344,9304.00,4655551.20,,881436400
"14,933,001.20",3520886,19106,146-MARINE CENTER - PIER #19,399.2,2947.80,Not Available,187,Parking,1,Not Available,MARINE CENTER - PIER #19,2000,Not Available,285000,5713.40,16095410.50,,884018819
Not Available,3579262,19103,164-JUNIPER STREET PARKING GARAGE,44.7,108.7,Not Available,14.2,Parking,1,Not Available,101-103 JUNIPER STREET,2007,Not Available,56997,15.7,812041.30,,883404500
Not Available,3790435,19102,Wood Street Garage,48.4,582.2,Not Available,15.4,Parking,1,Not Available,306-20 N Broad Street,1994,Not Available,282322,,4349395.80,,772025500
Not Available,3882220,19107,8th & filbert,67.8,458.4,Not Available,21.6,Parking,1,Not Available,800-08 Arch Street,1962,Not Available,158600,97.9,3423989.80,,781005000
"2,719,866.30",3883003,19107,Stephen Pang,113.1,543.9,Not Available,52.8,Parking,1,Not Available,1030-38 Race Street,1985,Not Available,108108,2509.90,2983487.90,,883430000
